GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
68,2017-03-14,7:30 PM,@,Florida Panthers,2,7,L,,31,23,14,L 1,,30,12,1,4,0,,32,12,1,5,1,17552,2:40,
69,2017-03-16,7:30 PM,@,Tampa Bay Lightning,5,0,W,,32,23,14,W 1,,21,14,1,3,0,,33,10,0,5,0,19092,2:28,
70,2017-03-18,7:00 PM,,Chicago Blackhawks,1,2,L,OT,32,23,15,L 1,,26,0,0,1,0,,39,2,0,0,0,19505,2:36,
71,2017-03-20,7:30 PM,,Boston Bruins,4,2,W,,33,23,15,W 1,,30,6,1,3,0,,34,10,0,1,0,19347,2:38,
72,2017-03-22,7:00 PM,@,Columbus Blue Jackets,5,2,W,,34,23,15,W 2,,32,15,1,3,0,,34,6,0,1,0,16106,2:31,
73,2017-03-23,7:30 PM,,New Jersey Devils,4,2,W,,35,23,15,W 3,,30,17,1,2,0,,32,13,1,4,0,19142,2:40,
74,2017-03-25,7:00 PM,@,Buffalo Sabres,2,5,L,,35,24,15,L 1,,34,6,0,3,0,,38,8,2,2,0,19070,2:34,
75,2017-03-28,7:30 PM,,Florida Panthers,3,2,W,,36,24,15,W 1,,25,18,0,4,1,,27,18,1,4,0,19278,2:33,
76,2017-03-30,8:00 PM,@,Nashville Predators,3,1,W,,37,24,15,W 2,,17,10,2,3,0,,30,6,0,5,0,17214,2:32,
77,2017-04-01,7:00 PM,@,Detroit Red Wings,5,4,W,,38,24,15,W 3,,27,6,1,1,0,,42,4,0,3,0,20027,2:37,
78,2017-04-03,7:00 PM,@,Buffalo Sabres,4,2,W,,39,24,15,W 4,,45,6,1,3,0,,22,30,0,1,1,18829,2:40,
79,2017-04-04,7:30 PM,,Washington Capitals,1,4,L,,39,25,15,L 1,,28,8,1,4,0,,38,10,1,3,0,19415,2:26,
80,2017-04-06,7:30 PM,,Tampa Bay Lightning,1,4,L,,39,26,15,L 2,,27,21,0,3,0,,30,13,1,2,0,19380,2:47,
81,2017-04-08,7:00 PM,,Pittsburgh Penguins,5,3,W,,40,26,15,W 1,,30,4,1,3,0,,18,6,1,2,0,19561,2:32,
82,2017-04-09,6:00 PM,,Columbus Blue Jackets,2,3,L,,40,27,15,L 1,,32,4,0,4,0,,32,8,0,2,1,19369,2:33,
