GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
38,2017-01-06,7:30 PM,@,New Jersey Devils,4,2,W,,18,12,8,W 1,,14,8,2,3,1,,32,6,1,4,0,15233,2:23,
39,2017-01-07,7:00 PM,,Montreal Canadiens,3,5,L,,18,13,8,L 1,,36,40,2,4,0,,31,36,2,6,0,19796,2:39,
40,2017-01-13,7:00 PM,@,New York Rangers,4,2,W,,19,13,8,W 1,,27,12,2,4,0,,36,8,0,6,0,18006,2:29,
41,2017-01-14,7:00 PM,@,Ottawa Senators,4,2,W,,20,13,8,W 2,,27,4,1,1,0,,37,4,0,1,0,19782,2:37,
42,2017-01-17,7:30 PM,,Buffalo Sabres,4,3,W,,21,13,8,W 3,,32,2,1,1,0,,27,2,0,1,0,19122,2:29,
43,2017-01-19,7:30 PM,,New York Rangers,2,5,L,,21,14,8,L 1,,25,10,0,2,1,,41,6,0,4,1,19088,2:31,
44,2017-01-21,7:00 PM,,Ottawa Senators,2,3,L,SO,21,14,9,L 2,,33,8,1,4,0,,27,8,1,4,0,19544,2:55,
45,2017-01-23,7:30 PM,,Calgary Flames,4,0,W,,22,14,9,W 1,,28,16,1,4,1,,26,16,0,5,0,19043,2:32,
46,2017-01-25,7:00 PM,@,Detroit Red Wings,4,0,W,,23,14,9,W 2,,28,4,0,2,0,,22,4,0,2,0,20027,2:24,
47,2017-01-26,7:00 PM,@,Philadelphia Flyers,1,2,L,,23,15,9,L 1,,28,2,0,3,0,,34,6,0,1,0,19723,2:28,
48,2017-01-31,8:30 PM,@,Dallas Stars,3,6,L,,23,16,9,L 2,,43,2,1,2,0,,20,4,1,1,0,17547,2:29,
49,2017-02-02,9:00 PM,@,St. Louis Blues,1,5,L,,23,17,9,L 3,,27,6,0,3,0,,31,8,1,2,0,19258,2:30,
50,2017-02-04,7:00 PM,@,Boston Bruins,6,5,W,,24,17,9,W 1,,26,17,1,2,0,,41,11,2,5,0,17565,2:53,
51,2017-02-06,7:00 PM,@,New York Islanders,5,6,L,OT,24,17,10,L 1,,32,2,0,1,1,,34,2,0,1,0,11828,2:34,
52,2017-02-07,7:30 PM,,Dallas Stars,3,1,W,,25,17,10,W 1,,34,8,1,5,0,,40,10,1,4,0,19233,2:35,
53,2017-02-09,7:30 PM,,St. Louis Blues,1,2,L,OT,25,17,11,L 1,,32,2,0,1,0,,40,2,0,1,0,18920,2:32,
54,2017-02-11,7:00 PM,,Buffalo Sabres,1,3,L,,25,18,11,L 2,,44,9,1,3,0,,23,11,1,1,0,19427,2:32,
55,2017-02-14,7:30 PM,,New York Islanders,7,1,W,,26,18,11,W 1,,41,13,1,3,0,,34,11,0,4,0,18956,2:30,
56,2017-02-15,7:00 PM,@,Columbus Blue Jackets,2,5,L,,26,19,11,L 1,,33,8,0,2,0,,35,6,1,4,0,14548,2:30,
57,2017-02-18,7:00 PM,,Ottawa Senators,3,6,L,,26,20,11,L 2,,37,10,1,4,0,,42,10,1,4,0,19527,2:37,
58,2017-02-19,7:00 PM,@,Carolina Hurricanes,4,0,W,,27,20,11,W 1,,31,6,0,2,0,,37,4,0,3,0,10004,2:33,
59,2017-02-21,7:30 PM,,Winnipeg Jets,5,4,W,OT,28,20,11,W 2,,37,17,2,5,0,,20,17,1,4,0,19583,2:55,
60,2017-02-23,7:30 PM,,New York Rangers,1,2,L,SO,28,20,12,L 1,,33,4,0,3,0,,38,6,0,2,0,19175,2:41,
61,2017-02-25,7:00 PM,,Montreal Canadiens,2,3,L,OT,28,20,13,L 2,,34,8,0,2,0,,28,4,1,4,0,19843,2:31,
62,2017-02-28,10:30 PM,@,San Jose Sharks,1,3,L,,28,21,13,L 3,,21,4,1,3,0,,37,6,0,2,0,17515,2:27,
63,2017-03-02,10:30 PM,@,Los Angeles Kings,2,3,L,SO,28,21,14,L 4,,31,6,0,1,0,,35,2,1,3,0,18230,2:51,
64,2017-03-03,10:00 PM,@,Anaheim Ducks,2,5,L,,28,22,14,L 5,,39,2,1,4,0,,36,8,0,1,0,16293,2:41,
65,2017-03-07,7:30 PM,,Detroit Red Wings,3,2,W,,29,22,14,W 1,,28,4,1,4,0,,24,8,0,2,0,19060,2:35,
66,2017-03-09,7:30 PM,,Philadelphia Flyers,4,2,W,,30,22,14,W 2,,33,6,2,2,0,,38,4,1,3,0,18894,2:36,
67,2017-03-11,7:00 PM,@,Carolina Hurricanes,3,2,W,OT,31,22,14,W 3,,26,4,0,2,0,,38,4,1,2,0,12328,2:30,
