GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-03,10:00 PM,@,Phoenix Coyotes,1,4,L,,0,1,0,L 1,,24,18,1,0,,32,30,1,0,
2,2013-10-07,10:30 PM,@,Los Angeles Kings,3,1,W,,1,1,0,W 1,,28,11,0,1,,29,15,0,0,
3,2013-10-08,10:30 PM,@,San Jose Sharks,2,9,L,,1,2,0,L 1,,20,6,1,0,,47,4,2,1,
4,2013-10-10,10:00 PM,@,Anaheim Ducks,0,6,L,,1,3,0,L 2,,34,34,0,0,,37,16,0,0,
5,2013-10-12,8:00 PM,@,St. Louis Blues,3,5,L,,1,4,0,L 3,,29,16,2,0,,34,12,2,0,
6,2013-10-16,8:00 PM,@,Washington Capitals,2,0,W,,2,4,0,W 1,,36,15,0,0,,22,13,0,0,
7,2013-10-19,7:00 PM,@,New Jersey Devils,0,4,L,,2,5,0,L 1,,22,8,0,0,,19,6,1,0,
8,2013-10-24,7:00 PM,@,Philadelphia Flyers,1,2,L,,2,6,0,L 2,,31,41,0,0,,27,14,0,1,
9,2013-10-26,7:00 PM,@,Detroit Red Wings,3,2,W,OT,3,6,0,W 1,,40,8,1,0,,34,6,1,0,
10,2013-10-28,7:30 PM,,Montreal Canadiens,0,2,L,,3,7,0,L 1,,27,14,0,0,,27,12,1,0,
11,2013-10-29,7:00 PM,@,New York Islanders,3,2,W,,4,7,0,W 1,,24,25,2,0,,24,27,0,0,
12,2013-10-31,7:00 PM,,Buffalo Sabres,2,0,W,,5,7,0,W 2,,46,7,1,0,,29,11,0,0,
13,2013-11-02,7:00 PM,,Carolina Hurricanes,5,1,W,,6,7,0,W 3,,38,10,1,0,,28,12,1,0,
14,2013-11-04,7:30 PM,,Anaheim Ducks,1,2,L,,6,8,0,L 1,,33,2,0,0,,25,6,0,0,
15,2013-11-06,7:30 PM,,Pittsburgh Penguins,5,1,W,,7,8,0,W 1,,25,21,0,0,,29,19,1,0,
16,2013-11-07,7:00 PM,@,Columbus Blue Jackets,4,2,W,,8,8,0,W 2,,34,6,1,0,,34,8,0,0,
17,2013-11-10,7:00 PM,,Florida Panthers,4,3,W,,9,8,0,W 3,,29,8,1,0,,27,8,1,0,
18,2013-11-12,7:00 PM,,New Jersey Devils,2,3,L,,9,9,0,L 1,,35,8,0,0,,28,12,0,0,
