GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
19,2013-11-16,7:00 PM,@,Montreal Canadiens,1,0,W,,10,9,0,W 1,,34,4,1,0,,22,6,0,0,
20,2013-11-17,7:00 PM,,Los Angeles Kings,0,1,L,,10,10,0,L 1,,37,2,0,0,,30,8,0,0,
21,2013-11-19,7:30 PM,,Boston Bruins,1,2,L,,10,11,0,L 2,,44,11,1,0,,22,11,0,1,
22,2013-11-21,8:30 PM,@,Dallas Stars,3,2,W,,11,11,0,W 1,,27,10,1,0,,43,4,1,0,
23,2013-11-23,8:00 PM,@,Nashville Predators,2,0,W,,12,11,0,W 2,,34,9,0,0,,17,11,0,0,
24,2013-11-25,7:30 PM,@,Tampa Bay Lightning,0,5,L,,12,12,0,L 1,,37,11,0,0,,25,17,0,0,
25,2013-11-27,7:30 PM,@,Florida Panthers,5,2,W,,13,12,0,W 1,,22,4,2,0,,33,6,0,0,
26,2013-11-29,1:00 PM,@,Boston Bruins,2,3,L,,13,13,0,L 1,,19,13,0,0,,28,17,0,0,
27,2013-11-30,2:00 PM,,Vancouver Canucks,5,2,W,,14,13,0,W 1,,24,16,2,0,,37,16,1,0,
28,2013-12-02,7:00 PM,,Winnipeg Jets,2,5,L,,14,14,0,L 1,,37,9,0,0,,30,9,0,0,
29,2013-12-05,7:00 PM,@,Buffalo Sabres,3,1,W,,15,14,0,W 1,,31,4,1,0,,28,4,0,0,
30,2013-12-07,7:30 PM,,New Jersey Devils,3,4,L,OT,15,14,1,L 1,,24,6,1,0,,24,8,1,0,
31,2013-12-08,7:00 PM,,Washington Capitals,1,4,L,,15,15,1,L 2,,31,6,0,0,,36,6,0,0,
32,2013-12-10,7:30 PM,,Nashville Predators,1,4,L,,15,16,1,L 3,,29,4,0,0,,26,4,0,0,
33,2013-12-12,7:00 PM,,Columbus Blue Jackets,2,4,L,,15,17,1,L 4,,34,8,0,0,,27,12,0,0,
34,2013-12-15,7:00 PM,,Calgary Flames,4,3,W,SO,16,17,1,W 1,,32,17,0,0,,21,15,1,0,
35,2013-12-18,8:00 PM,,Pittsburgh Penguins,3,4,L,SO,16,17,2,L 1,,32,8,1,0,,32,12,1,0,
36,2013-12-20,7:00 PM,,New York Islanders,3,5,L,,16,18,2,L 2,,24,10,2,0,,20,16,1,2,
37,2013-12-22,7:30 PM,,Minnesota Wild,4,1,W,,17,18,2,W 1,,36,6,1,0,,25,6,0,0,
38,2013-12-23,7:00 PM,,Toronto Maple Leafs,2,1,W,SO,18,18,2,W 2,,43,8,0,0,,26,6,0,0,
39,2013-12-27,7:00 PM,@,Washington Capitals,2,3,L,,18,19,2,L 1,,40,10,1,1,,34,10,1,0,
40,2013-12-29,7:00 PM,@,Tampa Bay Lightning,4,3,W,,19,19,2,W 1,,29,4,3,0,,40,6,1,0,
41,2013-12-31,5:00 PM,@,Florida Panthers,2,1,W,SO,20,19,2,W 2,,31,8,0,0,,22,6,0,0,
42,2014-01-03,7:00 PM,@,Pittsburgh Penguins,2,5,L,,20,20,2,L 1,,35,6,0,0,,28,8,1,0,
43,2014-01-04,7:00 PM,@,Toronto Maple Leafs,7,1,W,,21,20,2,W 1,,50,9,1,0,,26,13,0,0,
44,2014-01-06,7:00 PM,,Columbus Blue Jackets,3,4,L,SO,21,20,3,L 1,,43,19,2,0,,39,14,0,0,
45,2014-01-08,8:00 PM,@,Chicago Blackhawks,3,2,W,,22,20,3,W 1,,32,6,1,0,,37,4,1,0,
46,2014-01-10,7:00 PM,,Dallas Stars,3,2,W,,23,20,3,W 2,,34,4,1,0,,26,4,0,0,
47,2014-01-12,7:00 PM,,Philadelphia Flyers,4,1,W,,24,20,3,W 3,,35,36,1,0,,38,42,1,0,
48,2014-01-14,7:00 PM,,Tampa Bay Lightning,1,2,L,,24,21,3,L 1,,34,4,0,0,,25,4,1,0,
49,2014-01-16,7:00 PM,,Detroit Red Wings,1,0,W,,25,21,3,W 1,,48,4,0,0,,38,4,0,0,
50,2014-01-18,2:00 PM,@,Ottawa Senators,4,1,W,,26,21,3,W 2,,31,6,1,0,,30,10,0,0,
51,2014-01-19,7:30 PM,,Washington Capitals,4,1,W,,27,21,3,W 3,,26,10,1,1,,25,12,1,0,
52,2014-01-21,7:00 PM,,New York Islanders,3,5,L,,27,22,3,L 1,,33,8,1,0,,37,10,1,0,
53,2014-01-23,7:00 PM,,St. Louis Blues,1,2,L,,27,23,3,L 2,,35,6,0,0,,25,8,1,0,
54,2014-01-26,12:30 PM,@,New Jersey Devils,7,3,W,,28,23,3,W 1,,26,4,0,0,,22,6,1,0,NHL Stadium Series
55,2014-01-29,7:30 PM,@,New York Islanders,2,1,W,,29,23,3,W 2,,34,10,0,0,,31,4,0,0,NHL Stadium Series
56,2014-01-31,7:00 PM,,New York Islanders,4,1,W,,30,23,3,W 3,,37,12,0,0,,39,10,0,0,
57,2014-02-04,7:00 PM,,Colorado Avalanche,5,1,W,,31,23,3,W 4,,43,6,0,0,,28,6,1,0,
58,2014-02-06,7:00 PM,,Edmonton Oilers,1,2,L,,31,24,3,L 1,,36,2,0,0,,31,0,0,0,
59,2014-02-07,7:00 PM,@,Pittsburgh Penguins,4,3,W,SO,32,24,3,W 1,,41,14,2,0,,29,16,2,0,
60,2014-02-27,7:00 PM,,Chicago Blackhawks,2,1,W,,33,24,3,W 2,,24,6,0,0,,32,2,0,0,
61,2014-03-01,1:00 PM,@,Philadelphia Flyers,2,4,L,,33,25,3,L 1,,35,20,1,0,,31,18,1,0,
62,2014-03-02,7:00 PM,,Boston Bruins,3,6,L,,33,26,3,L 2,,42,4,1,0,,33,12,0,1,
63,2014-03-05,7:00 PM,,Toronto Maple Leafs,2,3,L,OT,33,26,4,L 3,,37,6,0,2,,29,4,0,0,
64,2014-03-07,7:00 PM,@,Carolina Hurricanes,4,2,W,,34,26,4,W 1,,44,10,1,1,,24,10,0,0,
65,2014-03-09,12:30 PM,,Detroit Red Wings,3,0,W,,35,26,4,W 2,,31,6,0,0,,30,6,0,0,
66,2014-03-11,7:00 PM,@,Carolina Hurricanes,1,3,L,,35,27,4,L 1,,25,10,0,0,,35,8,0,0,
67,2014-03-13,8:00 PM,@,Minnesota Wild,1,2,L,,35,28,4,L 2,,30,6,1,0,,26,6,0,0,
68,2014-03-14,8:00 PM,@,Winnipeg Jets,4,2,W,,36,28,4,W 1,,23,8,0,0,,32,6,0,0,
69,2014-03-16,4:00 PM,,San Jose Sharks,0,1,L,,36,29,4,L 1,,41,2,0,0,,29,6,0,1,
70,2014-03-18,7:30 PM,@,Ottawa Senators,8,4,W,,37,29,4,W 1,,39,4,0,1,,39,6,1,0,
71,2014-03-21,7:00 PM,@,Columbus Blue Jackets,3,1,W,,38,29,4,W 2,,32,20,0,0,,26,22,0,0,
72,2014-03-22,7:00 PM,@,New Jersey Devils,2,0,W,,39,29,4,W 3,,27,4,1,0,,21,8,0,0,
73,2014-03-24,7:00 PM,,Phoenix Coyotes,4,3,W,OT,40,29,4,W 4,,36,10,0,0,,21,4,1,0,
74,2014-03-26,8:00 PM,,Philadelphia Flyers,3,1,W,,41,29,4,W 5,,29,10,0,0,,31,10,0,0,
75,2014-03-28,9:00 PM,@,Calgary Flames,3,4,L,,41,30,4,L 1,,41,4,0,0,,28,2,1,0,
76,2014-03-30,8:00 PM,@,Edmonton Oilers,5,0,W,,42,30,4,W 1,,32,8,1,2,,26,14,0,0,
77,2014-04-01,10:00 PM,@,Vancouver Canucks,3,1,W,,43,30,4,W 2,,31,4,1,1,,35,19,0,0,
78,2014-04-03,9:00 PM,@,Colorado Avalanche,2,3,L,SO,43,30,5,L 1,,31,8,0,0,,37,10,0,0,
79,2014-04-05,7:00 PM,,Ottawa Senators,2,3,L,,43,31,5,L 2,,43,16,0,0,,34,8,0,0,
80,2014-04-08,7:00 PM,,Carolina Hurricanes,4,1,W,,44,31,5,W 1,,36,0,2,0,,28,6,0,0,
81,2014-04-10,7:00 PM,,Buffalo Sabres,2,1,W,,45,31,5,W 2,,30,6,0,0,,24,10,0,0,
82,2014-04-12,7:00 PM,@,Montreal Canadiens,0,1,L,OT,45,31,6,L 1,,41,25,0,0,,27,15,0,0,
