GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
50,2014-01-20,3:00 PM,@,Boston Bruins,2,3,L,,29,15,6,L 2,,23,15,1,0,,23,15,1,1,
51,2014-01-21,7:00 PM,@,Columbus Blue Jackets,3,5,L,,29,16,6,L 3,,29,6,0,0,,34,6,1,0,
52,2014-01-23,10:00 PM,@,Anaheim Ducks,1,2,L,,29,17,6,L 4,,31,10,0,0,,21,8,1,0,
53,2014-01-25,9:30 PM,,Anaheim Ducks,0,3,L,,29,18,6,L 5,,36,13,0,0,,21,15,0,0,NHL Stadium Series
54,2014-01-27,10:00 PM,@,San Jose Sharks,1,0,W,,30,18,6,W 1,,21,10,0,0,,23,14,0,0,
55,2014-01-28,9:00 PM,@,Phoenix Coyotes,0,3,L,,30,19,6,L 1,,30,8,0,0,,29,16,1,0,
56,2014-01-30,10:30 PM,,Pittsburgh Penguins,1,4,L,,30,20,6,L 2,,31,6,1,0,,22,8,2,0,
57,2014-02-01,4:00 PM,,Philadelphia Flyers,0,2,L,,30,21,6,L 3,,35,4,0,0,,13,6,1,0,
58,2014-02-03,10:30 PM,,Chicago Blackhawks,3,5,L,,30,22,6,L 4,,34,10,1,0,,30,10,1,0,
59,2014-02-06,10:30 PM,,Columbus Blue Jackets,2,1,W,OT,31,22,6,W 1,,20,8,0,0,,25,12,1,0,
60,2014-02-26,10:00 PM,@,Colorado Avalanche,6,4,W,,32,22,6,W 2,,28,10,1,0,,29,6,3,0,
61,2014-02-27,9:30 PM,@,Calgary Flames,2,0,W,,33,22,6,W 3,,24,12,0,0,,25,6,0,0,
62,2014-03-01,4:00 PM,,Carolina Hurricanes,3,1,W,,34,22,6,W 4,,31,8,1,0,,25,14,0,0,
63,2014-03-03,10:30 PM,,Montreal Canadiens,2,1,W,,35,22,6,W 5,,22,11,1,0,,18,13,0,0,
64,2014-03-06,7:00 PM,@,Winnipeg Jets,3,1,W,,36,22,6,W 6,,41,2,1,0,,18,8,0,0,
65,2014-03-09,8:00 PM,@,Edmonton Oilers,4,2,W,,37,22,6,W 7,,50,18,1,0,,27,8,0,0,
66,2014-03-10,9:00 PM,@,Calgary Flames,3,2,W,,38,22,6,W 8,,23,6,0,0,,26,4,1,0,
67,2014-03-13,10:30 PM,,Toronto Maple Leafs,2,3,L,,38,23,6,L 1,,41,6,1,0,,29,8,1,1,
68,2014-03-15,10:30 PM,,Anaheim Ducks,1,2,L,,38,24,6,L 2,,38,8,1,0,,20,8,0,0,
69,2014-03-17,10:30 PM,,Phoenix Coyotes,3,4,L,,38,25,6,L 3,,39,8,1,0,,27,8,1,0,
70,2014-03-20,10:30 PM,,Washington Capitals,2,1,W,SO,39,25,6,W 1,,28,11,0,0,,22,11,0,0,
71,2014-03-22,4:00 PM,,Florida Panthers,4,0,W,,40,25,6,W 2,,29,4,1,0,,24,6,0,0,
72,2014-03-24,7:00 PM,@,Philadelphia Flyers,3,2,W,,41,25,6,W 3,,41,10,0,0,,32,10,0,0,
73,2014-03-25,7:00 PM,@,Washington Capitals,5,4,W,SO,42,25,6,W 4,,36,10,1,0,,27,8,2,1,
74,2014-03-27,7:00 PM,@,Pittsburgh Penguins,3,2,W,,43,25,6,W 5,,32,14,1,0,,37,6,0,0,
75,2014-03-29,10:00 PM,,Winnipeg Jets,4,2,W,,44,25,6,W 6,,29,6,0,0,,26,4,1,0,
76,2014-03-31,10:00 PM,,Minnesota Wild,2,3,L,,44,26,6,L 1,,20,4,0,0,,20,6,1,0,
77,2014-04-02,10:30 PM,,Phoenix Coyotes,4,0,W,,45,26,6,W 1,,32,4,2,0,,17,8,0,0,
78,2014-04-03,10:30 PM,@,San Jose Sharks,1,2,L,,45,27,6,L 1,,27,8,0,0,,21,14,1,0,
79,2014-04-05,10:00 PM,@,Vancouver Canucks,1,2,L,,45,28,6,L 2,,26,12,1,0,,40,6,1,0,
80,2014-04-09,10:00 PM,@,Calgary Flames,3,4,L,SO,45,28,7,L 3,,44,0,0,0,,18,0,0,0,
81,2014-04-10,9:30 PM,@,Edmonton Oilers,3,0,W,,46,28,7,W 1,,48,0,0,0,,17,6,0,0,
82,2014-04-12,10:30 PM,,Anaheim Ducks,3,4,L,SO,46,28,8,L 1,,30,8,0,0,,24,8,0,0,
