GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-03,8:30 PM,,Florida Panthers,2,4,L,,0,1,0,L 1,,27,38,0,1,,39,26,0,0,
2,2013-10-05,8:00 PM,,Washington Capitals,2,1,W,,1,1,0,W 1,,21,6,0,0,,26,4,1,0,
3,2013-10-11,8:00 PM,@,Winnipeg Jets,4,1,W,,2,1,0,W 2,,31,12,2,0,,44,8,1,0,
4,2013-10-12,8:00 PM,@,Minnesota Wild,1,5,L,,2,2,0,L 1,,19,8,1,0,,36,6,2,0,
5,2013-10-15,9:00 PM,@,Colorado Avalanche,2,3,L,,2,3,0,L 2,,41,6,1,0,,26,10,0,0,
6,2013-10-17,8:30 PM,,San Jose Sharks,4,3,W,SO,3,3,0,W 1,,31,15,0,0,,35,11,0,0,
7,2013-10-19,10:30 PM,@,Los Angeles Kings,2,5,L,,3,4,0,L 1,,29,13,0,0,,34,17,1,0,
8,2013-10-20,8:00 PM,@,Anaheim Ducks,3,6,L,,3,5,0,L 2,,36,31,1,0,,47,19,2,1,
9,2013-10-24,8:30 PM,,Calgary Flames,5,1,W,,4,5,0,W 1,,34,9,0,0,,29,11,0,0,
10,2013-10-26,7:00 PM,,Winnipeg Jets,1,2,L,SO,4,5,1,L 1,,36,4,0,0,,38,6,0,0,
11,2013-10-28,7:00 PM,@,Buffalo Sabres,4,3,W,,5,5,1,W 1,,29,13,1,0,,25,13,1,0,
12,2013-10-29,7:00 PM,@,Montreal Canadiens,1,2,L,,5,6,1,L 1,,27,13,0,0,,24,9,0,0,
13,2013-11-01,8:30 PM,,Colorado Avalanche,2,3,L,OT,5,6,2,L 2,,29,13,0,0,,29,9,0,0,
14,2013-11-03,1:00 PM,@,Ottawa Senators,4,3,W,SO,6,6,2,W 1,,38,8,0,0,,36,10,1,0,
15,2013-11-05,7:00 PM,@,Boston Bruins,3,2,W,SO,7,6,2,W 2,,36,12,0,0,,36,10,0,0,
16,2013-11-07,7:30 PM,@,Detroit Red Wings,4,3,W,OT,8,6,2,W 3,,28,0,1,0,,29,4,0,0,
17,2013-11-09,8:00 PM,,Chicago Blackhawks,2,5,L,,8,7,2,L 1,,33,4,0,0,,31,12,1,1,
18,2013-11-13,10:00 PM,@,Edmonton Oilers,3,0,W,,9,7,2,W 1,,26,10,0,0,,22,12,0,0,
19,2013-11-14,9:00 PM,@,Calgary Flames,7,3,W,,10,7,2,W 2,,32,16,1,0,,28,18,1,1,
20,2013-11-17,8:00 PM,@,Vancouver Canucks,2,1,W,,11,7,2,W 3,,23,10,0,0,,43,6,1,0,
21,2013-11-21,8:30 PM,,New York Rangers,2,3,L,,11,8,2,L 1,,43,4,1,0,,27,10,1,0,
22,2013-11-23,8:00 PM,@,St. Louis Blues,1,6,L,,11,9,2,L 2,,35,16,0,0,,25,16,1,0,
23,2013-11-26,8:00 PM,,Anaheim Ducks,6,3,W,,12,9,2,W 1,,33,4,0,0,,31,6,1,0,
24,2013-11-29,8:30 PM,,Chicago Blackhawks,1,2,L,SO,12,9,3,L 1,,29,4,0,0,,26,4,0,0,
25,2013-12-01,6:00 PM,,Edmonton Oilers,2,3,L,SO,12,9,4,L 2,,45,8,0,1,,32,8,0,0,
26,2013-12-03,8:00 PM,@,Chicago Blackhawks,4,3,W,,13,9,4,W 1,,18,15,1,0,,50,9,1,0,
27,2013-12-05,7:00 PM,@,Toronto Maple Leafs,2,3,L,OT,13,9,5,L 1,,50,6,1,0,,24,10,1,0,
28,2013-12-07,2:00 PM,,Philadelphia Flyers,5,1,W,,14,9,5,W 1,,34,20,0,1,,28,45,0,0,
