GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
49,2014-01-19,7:30 PM,@,New York Rangers,1,4,L,,22,19,8,L 5,,25,12,1,0,,26,10,1,1,
50,2014-01-21,7:00 PM,,Ottawa Senators,0,2,L,,22,20,8,L 6,,34,20,0,0,,26,10,1,0,
51,2014-01-24,7:00 PM,@,New Jersey Devils,1,2,L,,22,21,8,L 7,,31,10,0,0,,30,6,1,0,
52,2014-01-25,7:00 PM,@,Montreal Canadiens,5,0,W,,23,21,8,W 1,,34,13,0,0,,21,41,0,0,
53,2014-01-28,7:30 PM,@,Buffalo Sabres,5,4,W,OT,24,21,8,W 2,,35,4,2,0,,27,6,1,0,
54,2014-01-30,7:00 PM,@,Columbus Blue Jackets,2,5,L,,24,22,8,L 1,,32,24,0,1,,29,34,0,1,
55,2014-01-31,7:30 PM,@,Detroit Red Wings,3,4,L,SO,24,22,9,L 2,,29,10,1,0,,45,4,0,0,
56,2014-02-02,12:30 PM,,Detroit Red Wings,6,5,W,OT,25,22,9,W 1,,28,6,3,0,,30,12,2,0,
57,2014-02-04,7:30 PM,,New York Islanders,0,1,L,,25,23,9,L 1,,22,17,0,0,,28,19,0,0,
58,2014-02-06,7:00 PM,,Winnipeg Jets,4,2,W,,26,23,9,W 1,,30,2,0,0,,36,8,0,0,
59,2014-02-08,8:00 PM,,New Jersey Devils,3,0,W,,27,23,9,W 2,,26,8,0,0,,25,8,0,0,
60,2014-02-27,7:30 PM,@,Florida Panthers,5,4,W,,28,23,9,W 3,,32,12,2,0,,34,4,1,0,
61,2014-03-01,1:00 PM,@,Boston Bruins,4,2,W,,29,23,9,W 4,,31,10,2,0,,38,12,1,0,
62,2014-03-02,12:30 PM,,Philadelphia Flyers,4,5,L,OT,29,23,10,L 1,,29,15,0,0,,36,16,2,1,
