GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-08,7:30 PM,@,Boston Bruins,1,2,L,,0,1,0,L 1,,20,11,0,0,,33,15,1,0,
2,2014-10-09,7:00 PM,,New Jersey Devils,4,6,L,,0,2,0,L 2,,39,6,2,0,,26,10,0,0,
3,2014-10-11,7:00 PM,,Montreal Canadiens,3,4,L,SO,0,2,1,L 3,,32,6,1,0,,38,12,0,0,
4,2014-10-14,7:00 PM,,Anaheim Ducks,3,4,L,SO,0,2,2,L 4,,42,4,2,0,,28,8,0,0,
5,2014-10-18,8:00 PM,@,Dallas Stars,6,5,W,OT,1,2,2,W 1,,37,2,2,0,,23,10,2,0,
6,2014-10-21,8:30 PM,@,Chicago Blackhawks,0,4,L,,1,3,2,L 1,,32,8,0,0,,43,4,2,0,
7,2014-10-22,8:00 PM,@,Pittsburgh Penguins,5,3,W,,2,3,2,W 1,,33,11,0,0,,25,11,0,0,
8,2014-10-25,7:00 PM,,Detroit Red Wings,4,2,W,,3,3,2,W 2,,17,8,1,0,,37,12,0,0,
9,2014-10-28,7:00 PM,,Los Angeles Kings,3,2,W,OT,4,3,2,W 3,,43,4,0,0,,40,14,0,1,
10,2014-10-30,7:30 PM,@,Tampa Bay Lightning,3,4,L,,4,4,2,L 1,,27,12,0,0,,32,8,2,0,
11,2014-11-01,7:00 PM,@,Florida Panthers,1,2,L,,4,5,2,L 2,,37,10,0,0,,30,14,1,0,
12,2014-11-04,7:00 PM,,Edmonton Oilers,4,1,W,,5,5,2,W 1,,25,13,0,0,,36,5,0,0,
13,2014-11-06,7:00 PM,,Florida Panthers,4,1,W,,6,5,2,W 2,,30,12,0,0,,35,8,1,0,
14,2014-11-08,7:00 PM,,Colorado Avalanche,4,3,W,,7,5,2,W 3,,27,13,3,0,,39,16,0,0,
15,2014-11-14,7:00 PM,,Columbus Blue Jackets,3,4,L,,7,6,2,L 1,,27,8,2,0,,38,6,3,0,
16,2014-11-15,7:00 PM,@,Montreal Canadiens,3,6,L,,7,7,2,L 2,,29,11,1,0,,28,15,3,0,
17,2014-11-19,8:00 PM,@,New York Rangers,0,2,L,,7,8,2,L 3,,31,8,0,0,,34,8,1,0,
18,2014-11-20,7:00 PM,,Minnesota Wild,2,3,L,,7,9,2,L 4,,39,14,1,0,,29,10,1,0,
19,2014-11-22,7:00 PM,,Columbus Blue Jackets,4,2,W,,8,9,2,W 1,,37,13,1,0,,22,15,1,0,
20,2014-11-24,7:00 PM,@,New York Islanders,0,1,L,SO,8,9,3,L 1,,21,11,0,0,,46,9,0,0,
21,2014-11-26,7:30 PM,@,Detroit Red Wings,2,5,L,,8,10,3,L 2,,24,11,1,0,,25,13,1,0,
22,2014-11-28,1:00 PM,,New York Rangers,0,3,L,,8,11,3,L 3,,26,10,0,0,,24,12,1,1,
23,2014-11-29,1:00 PM,@,New York Rangers,2,5,L,,8,12,3,L 4,,23,8,1,0,,35,2,1,0,
24,2014-12-02,10:00 PM,@,San Jose Sharks,1,2,L,,8,13,3,L 5,,29,7,1,0,,27,9,0,0,
25,2014-12-03,10:30 PM,@,Anaheim Ducks,4,5,L,SO,8,13,4,L 6,,35,12,1,0,,33,6,1,0,
26,2014-12-06,4:00 PM,@,Los Angeles Kings,2,1,W,,9,13,4,W 1,,16,10,1,0,,38,10,0,0,
