GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
27,2014-12-09,7:00 PM,@,Columbus Blue Jackets,2,3,L,OT,9,13,5,L 1,,21,8,1,0,,24,8,2,0,
28,2014-12-11,7:00 PM,,New Jersey Devils,4,1,W,,10,13,5,W 1,,36,4,1,1,,18,8,1,0,
29,2014-12-13,1:00 PM,,Carolina Hurricanes,5,1,W,,11,13,5,W 2,,23,8,1,0,,26,4,1,0,
30,2014-12-16,7:00 PM,,Tampa Bay Lightning,1,3,L,,11,14,5,L 1,,24,8,1,0,,23,6,0,0,
31,2014-12-18,7:00 PM,,Florida Panthers,1,2,L,SO,11,14,6,L 2,,26,6,0,0,,32,4,0,0,
32,2014-12-20,7:00 PM,@,Toronto Maple Leafs,7,4,W,,12,14,6,W 1,,42,8,0,0,,25,6,1,0,
33,2014-12-21,9:00 PM,@,Winnipeg Jets,4,3,W,OT,13,14,6,W 2,,23,4,0,0,,28,10,0,0,
34,2014-12-23,7:00 PM,@,Minnesota Wild,5,2,W,,14,14,6,W 3,,30,12,0,0,,24,4,1,0,
35,2014-12-27,8:00 PM,@,Nashville Predators,1,4,L,,14,15,6,L 1,,27,12,0,0,,38,10,3,0,
36,2014-12-29,9:00 PM,@,Arizona Coyotes,2,4,L,,14,16,6,L 2,,32,4,0,0,,25,4,1,0,
37,2014-12-31,9:00 PM,@,Colorado Avalanche,3,4,L,OT,14,16,7,L 3,,29,10,2,0,,33,12,1,0,
38,2015-01-02,7:00 PM,@,Carolina Hurricanes,1,2,L,,14,17,7,L 4,,24,4,0,0,,26,6,0,0,
39,2015-01-03,7:00 PM,@,New Jersey Devils,2,5,L,,14,18,7,L 5,,20,26,1,0,,18,24,1,0,
40,2015-01-06,7:00 PM,,Ottawa Senators,2,1,W,SO,15,18,7,W 1,,34,11,1,0,,42,13,0,0,
41,2015-01-08,7:00 PM,,Washington Capitals,3,2,W,OT,16,18,7,W 2,,33,4,1,0,,28,6,1,0,
42,2015-01-10,1:00 PM,,Boston Bruins,1,3,L,,16,19,7,L 1,,25,13,1,0,,18,25,1,1,
43,2015-01-12,7:00 PM,,Tampa Bay Lightning,7,3,W,,17,19,7,W 1,,25,11,3,0,,24,13,2,0,
44,2015-01-14,8:00 PM,@,Washington Capitals,0,1,L,,17,20,7,L 1,,21,4,0,0,,26,6,0,0,
45,2015-01-15,7:00 PM,,Vancouver Canucks,0,4,L,,17,21,7,L 2,,30,23,0,0,,22,11,2,0,
46,2015-01-17,7:00 PM,@,Buffalo Sabres,4,3,W,,18,21,7,W 1,,32,8,2,0,,27,8,1,0,
47,2015-01-19,1:00 PM,@,New York Islanders,4,7,L,,18,22,7,L 1,,29,8,1,0,,41,6,1,1,
48,2015-01-20,7:30 PM,,Pittsburgh Penguins,3,2,W,OT,19,22,7,W 1,,40,59,1,0,,35,32,0,1,
49,2015-01-27,7:00 PM,,Arizona Coyotes,4,3,W,SO,20,22,7,W 2,,42,2,1,0,,27,4,0,0,
50,2015-01-29,7:00 PM,,Winnipeg Jets,5,2,W,,21,22,7,W 3,,32,14,1,0,,38,8,1,0,
51,2015-01-31,7:00 PM,,Toronto Maple Leafs,1,0,W,,22,22,7,W 4,,18,2,0,0,,30,4,0,0,
52,2015-02-05,7:00 PM,,New York Islanders,2,3,L,SO,22,22,8,L 1,,18,7,0,0,,30,7,0,0,
53,2015-02-08,3:00 PM,@,Washington Capitals,3,1,W,,23,22,8,W 1,,25,17,1,0,,14,9,1,0,
54,2015-02-10,7:30 PM,@,Montreal Canadiens,1,2,L,OT,23,22,9,L 1,,24,4,0,0,,41,2,0,0,
55,2015-02-13,7:00 PM,@,Columbus Blue Jackets,3,4,L,OT,23,22,10,L 2,,25,2,1,0,,33,6,0,0,
56,2015-02-15,7:30 PM,@,Buffalo Sabres,2,1,W,,24,22,10,W 1,,30,6,0,0,,22,4,1,0,
57,2015-02-17,7:00 PM,,Columbus Blue Jackets,2,5,L,,24,23,10,L 1,,44,2,0,0,,25,4,1,0,
58,2015-02-19,8:00 PM,,Buffalo Sabres,2,3,L,SO,24,23,11,L 2,,38,8,1,0,,32,10,0,0,
59,2015-02-21,1:00 PM,,Nashville Predators,3,2,W,SO,25,23,11,W 1,,33,14,0,0,,22,4,0,0,
60,2015-02-22,12:30 PM,,Washington Capitals,3,2,W,,26,23,11,W 2,,28,15,2,0,,23,13,0,0,
61,2015-02-24,7:00 PM,@,Carolina Hurricanes,1,4,L,,26,24,11,L 1,,24,8,0,0,,35,4,2,0,
62,2015-02-26,7:30 PM,@,Toronto Maple Leafs,2,3,L,,26,25,11,L 2,,49,10,2,0,,17,14,1,0,
63,2015-02-28,8:00 PM,,New York Rangers,4,2,W,,27,25,11,W 1,,34,6,0,1,,36,6,0,0,
64,2015-03-03,7:00 PM,,Calgary Flames,2,3,L,OT,27,25,12,L 1,,37,4,0,0,,26,4,0,0,
65,2015-03-05,7:00 PM,,St. Louis Blues,3,1,W,,28,25,12,W 1,,31,2,0,0,,29,4,0,0,
66,2015-03-07,1:00 PM,@,Boston Bruins,2,3,L,OT,28,25,13,L 1,,31,8,1,0,,37,4,2,0,
67,2015-03-08,5:00 PM,@,New Jersey Devils,2,5,L,,28,26,13,L 2,,27,10,0,1,,21,8,1,1,
68,2015-03-10,7:00 PM,,Dallas Stars,1,2,L,,28,27,13,L 3,,26,6,0,0,,39,6,0,0,
69,2015-03-12,8:00 PM,@,St. Louis Blues,0,1,L,SO,28,27,14,L 4,,28,4,0,0,,35,8,0,0,
70,2015-03-14,1:00 PM,,Detroit Red Wings,7,2,W,,29,27,14,W 1,,36,16,3,0,,33,8,1,0,
71,2015-03-15,7:00 PM,@,Ottawa Senators,1,2,L,SO,29,27,15,L 1,,28,6,0,0,,28,8,0,0,
72,2015-03-17,10:00 PM,@,Vancouver Canucks,1,4,L,,29,28,15,L 2,,28,9,0,0,,35,11,0,0,
73,2015-03-19,9:00 PM,@,Calgary Flames,1,4,L,,29,29,15,L 3,,27,10,0,0,,26,6,2,0,
74,2015-03-21,10:00 PM,@,Edmonton Oilers,4,5,L,OT,29,29,16,L 4,,31,6,1,0,,34,6,0,0,
75,2015-03-25,8:00 PM,,Chicago Blackhawks,4,1,W,,30,29,16,W 1,,33,9,1,0,,35,7,1,0,
76,2015-03-28,1:00 PM,,San Jose Sharks,2,3,L,SO,30,29,17,L 1,,18,18,1,0,,44,16,1,0,
77,2015-04-01,8:00 PM,@,Pittsburgh Penguins,4,1,W,,31,29,17,W 1,,31,6,1,0,,25,12,0,0,
78,2015-04-04,1:00 PM,@,Carolina Hurricanes,2,3,L,SO,31,29,18,L 1,,23,6,1,0,,26,4,0,0,
79,2015-04-05,12:30 PM,,Pittsburgh Penguins,4,1,W,,32,29,18,W 1,,20,16,3,0,,47,10,1,0,
80,2015-04-07,7:00 PM,,New York Islanders,5,4,W,,33,29,18,W 2,,27,15,1,0,,40,11,1,0,
81,2015-04-09,7:00 PM,,Carolina Hurricanes,1,3,L,,33,30,18,L 1,,28,35,0,0,,27,19,1,0,
82,2015-04-11,12:30 PM,,Ottawa Senators,1,3,L,,33,31,18,L 2,,35,8,0,0,,22,4,1,0,
