GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-09,7:00 PM,,Montreal Canadiens,1,2,L,SO,0,0,1,L 1,,30,19,0,0,,24,19,0,0,
2,2014-10-11,7:00 PM,@,Boston Bruins,4,0,W,,1,0,1,W 1,,21,15,2,0,,29,25,0,0,
3,2014-10-14,7:00 PM,,San Jose Sharks,5,6,L,SO,1,0,2,L 1,,34,6,2,0,,23,8,1,0,
4,2014-10-16,7:00 PM,,New Jersey Devils,6,2,W,,2,0,2,W 1,,33,6,1,0,,28,10,0,0,
5,2014-10-18,7:00 PM,,Florida Panthers,2,1,W,SO,3,0,2,W 2,,28,10,0,0,,21,4,1,0,
6,2014-10-22,9:30 PM,@,Edmonton Oilers,2,3,L,,3,1,2,L 1,,34,9,1,0,,20,9,1,0,
7,2014-10-25,10:00 PM,@,Calgary Flames,3,1,W,,4,1,2,W 1,,30,10,1,0,,21,30,1,0,
8,2014-10-26,9:30 PM,@,Vancouver Canucks,2,4,L,,4,2,2,L 1,,22,10,0,0,,34,2,2,0,
9,2014-10-29,7:30 PM,,Detroit Red Wings,2,4,L,,4,3,2,L 2,,27,8,1,0,,22,12,1,0,
10,2014-11-01,7:00 PM,@,Tampa Bay Lightning,3,4,L,,4,4,2,L 3,,38,11,1,0,,28,11,0,0,
11,2014-11-02,7:00 PM,,Arizona Coyotes,5,6,L,,4,5,2,L 4,,37,21,2,0,,30,15,2,0,
12,2014-11-04,7:00 PM,,Calgary Flames,3,4,L,OT,4,5,3,L 5,,34,7,1,0,,23,13,0,0,
13,2014-11-07,8:30 PM,@,Chicago Blackhawks,3,2,W,,5,5,3,W 1,,24,6,0,0,,40,2,1,0,
14,2014-11-08,8:00 PM,,Carolina Hurricanes,4,3,W,OT,6,5,3,W 2,,39,4,1,0,,27,6,1,0,
15,2014-11-11,7:00 PM,,Columbus Blue Jackets,4,2,W,,7,5,3,W 3,,32,8,1,0,,26,10,0,0,
16,2014-11-14,7:00 PM,,New Jersey Devils,0,1,L,,7,6,3,L 1,,30,8,0,0,,28,10,0,0,
17,2014-11-15,8:00 PM,@,St. Louis Blues,1,4,L,,7,7,3,L 2,,25,11,0,0,,34,7,0,0,
18,2014-11-18,9:00 PM,@,Arizona Coyotes,2,1,W,OT,8,7,3,W 1,,24,8,0,0,,24,6,0,0,
19,2014-11-20,9:00 PM,@,Colorado Avalanche,3,2,W,,9,7,3,W 2,,23,2,0,0,,29,4,0,0,
