G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
34,Fri Dec 30 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,99,108,10,24,L 1,
35,Tue Jan 3 2017,8:30p ET,,Box Score,,Washington Wizards,W,,113,105,11,24,W 1,
36,Thu Jan 5 2017,8:30p ET,,Box Score,,Phoenix Suns,L,,95,102,11,25,L 1,
37,Sat Jan 7 2017,8:30p ET,,Box Score,,Atlanta Hawks,L,,82,97,11,26,L 2,
38,Mon Jan 9 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,92,101,11,27,L 3,
39,Thu Jan 12 2017,10:00p ET,,Box Score,@,Phoenix Suns,W,,113,108,12,27,W 1,at Mexico City Mexico
40,Sun Jan 15 2017,2:00p ET,,Box Score,,Minnesota Timberwolves,W,,98,87,13,27,W 2,
41,Tue Jan 17 2017,8:00p ET,,Box Score,@,Chicago Bulls,W,,99,98,14,27,W 3,
42,Thu Jan 19 2017,7:30p ET,,Box Score,@,Miami Heat,L,,95,99,14,28,L 1,
43,Fri Jan 20 2017,8:30p ET,,Box Score,,Utah Jazz,L,OT,107,112,14,29,L 2,
44,Sun Jan 22 2017,3:30p ET,,Box Score,,Los Angeles Lakers,W,,122,73,15,29,W 1,
45,Wed Jan 25 2017,8:30p ET,,Box Score,,New York Knicks,W,,103,95,16,29,W 2,
46,Thu Jan 26 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,98,109,16,30,L 1,
47,Sun Jan 29 2017,7:00p ET,,Box Score,@,San Antonio Spurs,W,,105,101,17,30,W 1,
48,Mon Jan 30 2017,8:30p ET,,Box Score,,Cleveland Cavaliers,W,,104,97,18,30,W 2,
49,Wed Feb 1 2017,8:30p ET,,Box Score,,Philadelphia 76ers,W,,113,95,19,30,W 3,
50,Fri Feb 3 2017,10:30p ET,,Box Score,@,Portland Trail Blazers,W,,108,104,20,30,W 4,
51,Mon Feb 6 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,87,110,20,31,L 1,
52,Tue Feb 7 2017,8:30p ET,,Box Score,,Portland Trail Blazers,L,,113,114,20,32,L 2,
53,Thu Feb 9 2017,8:30p ET,,Box Score,,Utah Jazz,W,OT,112,105,21,32,W 1,
54,Sat Feb 11 2017,9:00p ET,,Box Score,,Orlando Magic,W,,112,80,22,32,W 2,
55,Mon Feb 13 2017,8:30p ET,,Box Score,,Boston Celtics,L,,98,111,22,33,L 1,
56,Wed Feb 15 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,,91,98,22,34,L 2,
57,Fri Feb 24 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,84,97,22,35,L 3,
58,Sat Feb 25 2017,8:30p ET,,Box Score,,New Orleans Pelicans,W,,96,83,23,35,W 1,
59,Mon Feb 27 2017,8:30p ET,,Box Score,,Miami Heat,W,,96,89,24,35,W 2,
60,Wed Mar 1 2017,7:30p ET,,Box Score,@,Atlanta Hawks,L,,95,100,24,36,L 1,
61,Fri Mar 3 2017,8:30p ET,,Box Score,,Memphis Grizzlies,W,,104,100,25,36,W 1,
62,Sun Mar 5 2017,8:30p ET,,Box Score,,Oklahoma City Thunder,W,,104,89,26,36,W 2,
63,Tue Mar 7 2017,8:30p ET,,Box Score,,Los Angeles Lakers,W,,122,111,27,36,W 3,
64,Fri Mar 10 2017,9:00p ET,,Box Score,,Brooklyn Nets,W,,105,96,28,36,W 4,
65,Sat Mar 11 2017,9:00p ET,,Box Score,,Phoenix Suns,L,,98,100,28,37,L 1,
66,Mon Mar 13 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,78,100,28,38,L 2,
67,Wed Mar 15 2017,7:00p ET,,Box Score,@,Washington Wizards,W,,112,107,29,38,W 1,
68,Fri Mar 17 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,74,116,29,39,L 1,
69,Sun Mar 19 2017,12:00p ET,,Box Score,@,Brooklyn Nets,W,,111,104,30,39,W 1,
70,Tue Mar 21 2017,8:30p ET,,Box Score,,Golden State Warriors,L,,87,112,30,40,L 1,
71,Thu Mar 23 2017,8:30p ET,,Box Score,,Los Angeles Clippers,W,,97,95,31,40,W 1,
72,Sat Mar 25 2017,8:30p ET,,Box Score,,Toronto Raptors,L,,86,94,31,41,L 1,
73,Mon Mar 27 2017,8:30p ET,,Box Score,,Oklahoma City Thunder,L,,91,92,31,42,L 2,
74,Wed Mar 29 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,118,121,31,43,L 3,
75,Fri Mar 31 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,90,99,31,44,L 4,
76,Sun Apr 2 2017,3:30p ET,,Box Score,@,Milwaukee Bucks,W,,109,105,32,44,W 1,
77,Tue Apr 4 2017,10:30p ET,,Box Score,@,Sacramento Kings,L,,87,98,32,45,L 1,
78,Wed Apr 5 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,101,112,32,46,L 2,
79,Fri Apr 7 2017,8:30p ET,,Box Score,,San Antonio Spurs,L,,89,102,32,47,L 3,
80,Sun Apr 9 2017,6:00p ET,,Box Score,@,Phoenix Suns,L,,111,124,32,48,L 4,
81,Tue Apr 11 2017,8:30p ET,,Box Score,,Denver Nuggets,L,,91,109,32,49,L 5,
82,Wed Apr 12 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,100,93,33,49,W 1,
