GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
35,2016-12-31,1:00 PM,@,New Jersey Devils,6,2,W,,21,9,5,W 1,,26,28,0,4,0,,23,20,0,9,0,16514,2:39,
36,2017-01-01,7:30 PM,,Ottawa Senators,2,1,W,,22,9,5,W 2,,28,8,0,2,0,,24,4,0,4,0,18506,2:29,
37,2017-01-03,7:00 PM,,Toronto Maple Leafs,6,5,W,OT,23,9,5,W 3,,29,14,1,2,0,,25,6,2,6,0,18506,2:39,
38,2017-01-05,7:00 PM,,Columbus Blue Jackets,5,0,W,,24,9,5,W 4,,27,12,0,4,0,,29,10,0,5,0,18506,2:30,
39,2017-01-07,7:00 PM,@,Ottawa Senators,1,0,W,,25,9,5,W 5,,20,6,0,2,0,,30,4,0,3,0,18685,2:27,
40,2017-01-09,7:30 PM,@,Montreal Canadiens,4,1,W,,26,9,5,W 6,,39,6,1,2,0,,23,4,1,4,0,21288,2:30,
41,2017-01-11,8:00 PM,,Pittsburgh Penguins,5,2,W,,27,9,5,W 7,,30,14,2,4,0,,32,10,2,5,0,18506,2:43,
42,2017-01-13,7:00 PM,,Chicago Blackhawks,6,0,W,,28,9,5,W 8,,34,4,0,0,0,,24,0,0,2,0,18506,2:23,
43,2017-01-15,1:00 PM,,Philadelphia Flyers,5,0,W,,29,9,5,W 9,,22,8,1,2,0,,24,4,0,5,0,18506,2:15,
44,2017-01-16,7:00 PM,@,Pittsburgh Penguins,7,8,L,OT,29,9,6,L 1,,28,4,1,4,1,,37,10,1,1,0,18653,2:46,
45,2017-01-19,8:00 PM,@,St. Louis Blues,7,3,W,,30,9,6,W 1,,18,2,1,2,0,,25,4,0,1,0,19316,2:25,
46,2017-01-21,8:00 PM,@,Dallas Stars,4,3,W,OT,31,9,6,W 2,,22,24,2,2,0,,35,16,1,6,0,18532,2:44,
47,2017-01-23,7:00 PM,,Carolina Hurricanes,6,1,W,,32,9,6,W 3,,25,15,1,2,0,,26,9,1,4,0,18506,2:29,
48,2017-01-24,7:30 PM,@,Ottawa Senators,0,3,L,,32,10,6,L 1,,31,10,0,6,0,,34,14,1,4,1,16683,2:30,
49,2017-01-26,7:00 PM,@,New Jersey Devils,5,2,W,,33,10,6,W 1,,36,23,2,4,0,,29,25,1,3,0,13428,2:32,
50,2017-01-31,7:00 PM,@,New York Islanders,2,3,L,,33,11,6,L 1,,30,4,0,1,0,,29,2,1,2,0,11240,2:21,
51,2017-02-01,8:00 PM,,Boston Bruins,5,3,W,,34,11,6,W 1,,22,6,1,3,0,,33,6,2,3,0,18506,2:32,
52,2017-02-04,1:00 PM,@,Montreal Canadiens,3,2,W,,35,11,6,W 2,,30,6,1,4,0,,22,6,0,3,0,21288,2:37,
53,2017-02-05,12:00 PM,,Los Angeles Kings,5,0,W,,36,11,6,W 3,,20,8,0,2,0,,38,4,0,4,0,18506,2:19,
54,2017-02-07,7:00 PM,,Carolina Hurricanes,5,0,W,,37,11,6,W 4,,28,6,2,3,0,,23,6,0,3,0,18506,2:24,
55,2017-02-09,7:00 PM,,Detroit Red Wings,6,3,W,,38,11,6,W 5,,31,6,1,1,0,,17,4,1,2,0,18506,2:31,
56,2017-02-11,7:30 PM,,Anaheim Ducks,6,4,W,,39,11,6,W 6,,39,8,1,3,1,,22,10,0,2,0,18506,2:36,
