GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
50,2015-01-30,9:00 PM,,Nashville Predators,3,0,W,,21,18,11,W 1,,28,4,0,0,,23,28,0,0,
51,2015-02-03,8:30 PM,@,Dallas Stars,3,2,W,SO,22,18,11,W 2,,24,11,0,0,,32,9,1,0,
52,2015-02-05,9:00 PM,,Detroit Red Wings,0,3,L,,22,19,11,L 1,,28,9,0,0,,29,11,1,0,
53,2015-02-07,8:00 PM,@,Minnesota Wild,0,1,L,,22,20,11,L 2,,18,6,0,0,,29,4,0,0,
54,2015-02-08,6:00 PM,@,Winnipeg Jets,3,5,L,,22,21,11,L 3,,28,20,0,0,,29,16,2,0,
55,2015-02-12,9:00 PM,,New York Rangers,3,6,L,,22,22,11,L 4,,29,6,0,0,,31,12,1,0,
56,2015-02-14,9:00 PM,,Dallas Stars,4,1,W,,23,22,11,W 1,,30,32,0,0,,25,19,0,0,
57,2015-02-16,9:00 PM,,Arizona Coyotes,5,2,W,,24,22,11,W 2,,34,2,1,0,,17,6,0,0,
58,2015-02-18,10:00 PM,,Los Angeles Kings,1,4,L,,24,23,11,L 1,,43,8,0,0,,26,6,1,0,
59,2015-02-20,8:30 PM,@,Chicago Blackhawks,4,1,W,,25,23,11,W 1,,30,6,2,0,,28,8,0,0,
60,2015-02-22,7:00 PM,,Tampa Bay Lightning,5,4,W,,26,23,11,W 2,,18,16,0,0,,32,12,0,0,
61,2015-02-24,8:00 PM,@,Nashville Predators,2,5,L,,26,24,11,L 1,,20,14,1,0,,41,28,0,1,
62,2015-02-27,8:30 PM,@,Dallas Stars,5,4,W,SO,27,24,11,W 1,,23,6,0,0,,36,6,0,0,
63,2015-02-28,10:00 PM,,Minnesota Wild,1,3,L,,27,25,11,L 1,,34,40,0,0,,32,22,0,0,
64,2015-03-04,10:00 PM,,Pittsburgh Penguins,3,1,W,,28,25,11,W 1,,22,2,1,0,,29,6,0,0,
65,2015-03-07,7:00 PM,@,Columbus Blue Jackets,4,0,W,,29,25,11,W 2,,33,4,2,0,,44,12,0,0,
66,2015-03-08,6:00 PM,@,Minnesota Wild,3,2,W,,30,25,11,W 3,,21,9,1,0,,34,11,0,0,
67,2015-03-10,9:00 PM,,Los Angeles Kings,2,5,L,,30,26,11,L 1,,23,6,0,0,,30,6,1,0,
68,2015-03-12,9:00 PM,,New Jersey Devils,2,1,W,SO,31,26,11,W 1,,29,4,0,0,,24,6,0,0,
69,2015-03-14,10:00 PM,,Calgary Flames,3,2,W,,32,26,11,W 2,,26,6,1,0,,31,0,0,0,
70,2015-03-19,10:00 PM,@,Arizona Coyotes,5,2,W,,33,26,11,W 3,,29,2,0,0,,30,4,0,0,
71,2015-03-20,10:00 PM,@,Anaheim Ducks,2,3,L,OT,33,26,12,L 1,,24,6,0,1,,40,2,0,0,
72,2015-03-23,9:00 PM,@,Calgary Flames,2,3,L,,33,27,12,L 2,,27,2,0,0,,26,6,0,0,
73,2015-03-25,8:00 PM,@,Edmonton Oilers,3,4,L,,33,28,12,L 3,,44,2,1,0,,34,10,1,0,
74,2015-03-26,10:00 PM,@,Vancouver Canucks,4,1,W,,34,28,12,W 1,,38,11,2,0,,34,15,1,0,
75,2015-03-28,9:00 PM,,Buffalo Sabres,5,3,W,,35,28,12,W 2,,22,8,0,0,,38,4,0,0,
76,2015-03-30,9:00 PM,,Edmonton Oilers,1,4,L,,35,29,12,L 1,,30,0,0,0,,36,2,0,0,
77,2015-04-01,10:30 PM,@,San Jose Sharks,1,5,L,,35,30,12,L 2,,20,2,1,0,,30,4,0,0,
78,2015-04-03,10:00 PM,@,Anaheim Ducks,4,2,W,,36,30,12,W 1,,23,6,1,0,,37,10,0,0,
79,2015-04-04,10:00 PM,@,Los Angeles Kings,1,3,L,,36,31,12,L 1,,10,0,0,0,,26,2,0,0,
80,2015-04-07,9:00 PM,,Nashville Predators,3,2,W,,37,31,12,W 1,,23,8,0,0,,42,4,1,0,
81,2015-04-09,9:00 PM,,Winnipeg Jets,1,0,W,SO,38,31,12,W 2,,21,6,0,0,,41,2,0,0,
82,2015-04-11,9:00 PM,,Chicago Blackhawks,3,2,W,,39,31,12,W 3,,24,2,2,0,,30,6,0,0,
