G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Mon Feb 27 2017,7:00p ET,,Box Score,,Golden State Warriors,L,,108,119,22,37,L 2,
60,Wed Mar 1 2017,7:30p ET,,Box Score,@,Miami Heat,L,,98,125,22,38,L 3,
61,Fri Mar 3 2017,7:00p ET,,Box Score,,New York Knicks,W,,105,102,23,38,W 1,
62,Sat Mar 4 2017,6:00p ET,,Box Score,,Detroit Pistons,L,,106,136,23,39,L 1,
63,Mon Mar 6 2017,7:00p ET,,Box Score,,Milwaukee Bucks,L,,98,112,23,40,L 2,
64,Thu Mar 9 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,OT,108,114,23,41,L 3,
65,Sat Mar 11 2017,3:30p ET,,Box Score,@,Los Angeles Clippers,L,,100,112,23,42,L 4,
66,Sun Mar 12 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,118,116,24,42,W 1,
67,Tue Mar 14 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,104,106,24,43,L 1,
68,Fri Mar 17 2017,7:00p ET,,Box Score,,Dallas Mavericks,W,,116,74,25,43,W 1,
69,Sun Mar 19 2017,1:00p ET,,Box Score,,Boston Celtics,W,,105,99,26,43,W 2,
70,Mon Mar 20 2017,7:00p ET,,Box Score,@,Orlando Magic,L,OT,109,112,26,44,L 1,
71,Wed Mar 22 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,97,122,26,45,L 2,
72,Fri Mar 24 2017,8:00p ET,,Box Score,@,Chicago Bulls,W,,117,107,27,45,W 1,
73,Sun Mar 26 2017,6:00p ET,,Box Score,@,Indiana Pacers,L,,94,107,27,46,L 1,
74,Tue Mar 28 2017,7:30p ET,,Box Score,@,Brooklyn Nets,W,,106,101,28,46,W 1,
75,Wed Mar 29 2017,7:00p ET,,Box Score,,Atlanta Hawks,L,,92,99,28,47,L 1,
76,Fri Mar 31 2017,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,105,122,28,48,L 2,
77,Sun Apr 2 2017,6:00p ET,,Box Score,@,Toronto Raptors,L,,105,113,28,49,L 3,
78,Tue Apr 4 2017,7:00p ET,,Box Score,,Brooklyn Nets,L,,118,141,28,50,L 4,
79,Thu Apr 6 2017,7:00p ET,,Box Score,,Chicago Bulls,L,,90,102,28,51,L 5,
80,Sat Apr 8 2017,7:00p ET,,Box Score,,Milwaukee Bucks,L,,82,90,28,52,L 6,
81,Mon Apr 10 2017,7:00p ET,,Box Score,,Indiana Pacers,L,,111,120,28,53,L 7,
82,Wed Apr 12 2017,8:00p ET,,Box Score,@,New York Knicks,L,,113,114,28,54,L 8,
